Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 32631
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31877
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31876
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31875
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31874
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31873
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31872
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31871
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31870
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31869
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31868
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31867
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31866
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31865
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31864
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31863
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31862
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31861
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31860
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31859
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31858
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31857
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31856
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31855
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31854
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31853
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31852
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31851
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31850
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31849
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31848
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31847
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31846
Loop : n : 32632, v1 : 0, v2 : 0, v3 : 0, x : 31845
Loop : n : 32632, v1 : 0, v2 : 0, v3
